,Pc,Pt,Pg,mox,Mox,Vox,vg,mf,Mf,Df,Gox,r,Dt,Pe,CF,cstr,of,F,I
0.1,3031196.6798046613,5000000.0,14511825.024828166,2.8216612723023466,0.28213050533010325,0.014762915541739408,2.3712011618227023e-05,0.9482561593050756,0.09488055887678915,0.10060515127268978,354.9560307234435,0.004461982641655946,0.044,100201.3602397299,1.5060830993216276,1222.4587691105312,2.975756526572079,6888.850152536638,689.0061198006899
0.11,3031097.4565537744,5000000.0,14463040.093043065,2.821732378004157,0.3103474735561537,0.014739203803734323,2.3712827152232246e-05,0.948146529661458,0.10436257231665842,0.10066018153025341,354.5769676611345,0.004459027729137722,0.044,100198.8303661807,1.5060786231004206,1222.4312297688762,2.976175610677179,6888.604179139144,757.8928655917603
0.12,3030998.280609812,5000000.0,14414262.03190334,2.821803447970831,0.33856515277106924,0.014715491468259604,2.371320691245318e-05,0.9480369666618079,0.11384348969216485,0.10071521453932993,354.19849706367825,0.004456076237225652,0.044,100196.30152045668,1.506074148358027,1222.4036989525882,2.976594544736071,6888.3583213572,826.7782037688579
0.13,3030899.1518706973,5000000.0,14365489.050446633,2.821874482278262,0.36678354239676947,0.014691778535801033,2.3714021905481146e-05,0.9479274702379265,0.12332331187175699,0.1007702503000569,353.8206177073822,0.004453128160230826,0.044,100193.7737024178,1.5060696750951845,1222.3761766189175,2.9770133289026335,6888.112578960569,895.6600324033302
0.14,3030800.070234426,5000000.0,14316722.941938581,2.821945481002283,0.3950026422980232,0.014668065006472249,2.3714401005883244e-05,0.9478180403217378,0.1328020393186157,0.10082528881257191,353.4433283717124,0.004450183492476786,0.044,100191.24691190661,1.5060652033125914,1222.3486627251166,2.977431963330559,6887.866951719012,964.5404557319197
0.15,3030701.0355990496,5000000.0,14267961.915449703,2.822016444218673,0.4232224518985195,0.014644350880757545,2.3715215460261973e-05,0.9477086768452889,0.14227967289960092,0.10088033007701254,353.0666278392845,0.004447242228299497,0.044,100188.72114874936,1.5060607330109186,1222.3211572284395,2.9778504481733443,6887.621439402287,1033.4173718206014
0.16,3030602.0478626937,5000000.0,14219207.764205039,2.822087372003152,0.45144297106429027,0.014620636158769502,2.371559390361673e-05,0.9475993797407485,0.15175621307676118,0.10093537409351638,352.6905148958527,0.004444304362047308,0.044,100186.19641275512,1.5060562641907993,1222.2936600861444,2.9782687835843,6887.376041780159,1102.2928849022805
0.17,3030503.1069235494,5000000.0,14170458.697310133,2.8221582644313794,0.47966419922079145,0.014596920840990929,2.3716407821671068e-05,0.9474901489404053,0.16123166071537348,0.10099042086222107,352.3149883303004,0.004441369888080912,0.044,100183.6727037161,1.5060517968528244,1222.2661712554955,2.9786869697165432,6887.130758622339,1171.1648930375602
0.18,3030404.2126798807,5000000.0,14121716.507947313,2.8222291215789506,0.5078861362353156,0.014573204927533346,2.371678561074546e-05,0.9473809843766695,0.17070601627635798,0.10104547038326418,351.94004693463046,0.004438438800773322,0.044,100181.1500214091,1.5060473309975586,1222.2386906937647,2.979105006723006,6886.885589698601,1240.0355004555074
0.19,3030305.3650300205,5000000.0,14072979.405259307,2.8222999435214002,0.536108781535083,0.014549488418878079,2.3717598994796563e-05,0.9472718859820713,0.18017928062341443,0.10110052265678335,351.565689503955,0.004435511094509827,0.044,100178.6283655953,1.506042866625535,1222.2112183582312,2.9795228947564207,6886.6405347787195,1308.9026052113534
0.2,3030206.5638723886,5000000.0,14024249.182383573,2.822370730334194,0.5643321349886449,0.01452577131513559,2.3717976132353228e-05,0.9471628536892588,0.18965145421633872,0.10115557768291619,351.19191483648547,0.004432586763687957,0.044,100176.10773602019,1.5060384037372494,1222.1837542061878,2.979940633969337,6886.395593632514,1377.7683115303275
0.21,3030107.809105472,5000000.0,13975524.048502168,2.8224414820927337,0.5925561960249822,0.014502053616785726,2.3718788984717917e-05,0.9470538874309996,0.19912253791725876,0.10121063546180034,350.8187217335232,0.004429665802717457,0.044,100173.58813241457,1.506033942333174,1222.1562981949376,2.9803582245141076,6886.150766029842,1446.63051746229
0.22,3030009.1006278484,5000000.0,13926805.796705574,2.82251219887235,0.6207809645139031,0.014478335323937892,2.371916547351501e-05,0.946944987140179,0.20859253218485016,0.10126569599357343,350.4461089994495,0.00442674820602024,0.044,100171.06955449394,1.506029482413736,1222.1288502817995,2.9807756665428937,6885.906051740566,1515.4913272286356
0.23,3029910.438338168,5000000.0,13878092.636217304,2.822582880748304,0.6490064398861465,0.014454616437070461,2.37199777965068e-05,0.9468361527497994,0.21806143787967466,0.10132075927837311,350.0740754417159,0.0044238339680303645,0.044,100168.55200195948,1.5060250239793427,1222.1014104241062,2.981192960207667,6885.661450534628,1584.3486388738543
0.24,3029811.8221351784,5000000.0,13829386.360078745,2.8226535277957847,0.6772326220127742,0.014430896956291782,2.372035363929665e-05,0.94672738419298,0.22752925545929134,0.10137582531633703,349.7026198708344,0.00442092308319399,0.044,100166.0354744993,1.5060205670303726,1222.0739785792102,2.981610105660202,6885.416962182061,1653.204556615506
0.25,3029713.251917706,5000000.0,13780685.177557008,2.8227241400899072,0.7054595103262802,0.014407176882078753,2.3721165435224326e-05,0.9466186814029554,0.23699598578270126,0.10143089410760284,349.33174110036805,0.004418015545969349,0.044,100163.51997178677,1.5060161115671706,1222.0465547044823,2.9820271030520824,6885.172586452927,1722.0569784927152
0.26,3029614.727584671,5000000.0,13731990.88164225,2.8227947177057113,0.733687104698978,0.014383456214538671,2.3721540634755062e-05,0.9465100443130764,0.24646162930635096,0.10148596565230822,348.96143794692114,0.004415111350826709,0.044,100161.00549348239,1.5060116575900573,1222.019138757314,2.982443952534699,6884.928323117391,1790.9080087192099
0.27,3029516.249035085,5000000.0,13683301.681647334,2.82286526071816,0.7619154045651124,0.014359734954146962,2.372235190592286e-05,0.9464014728568081,0.25592618688768604,0.10154103995059083,348.5917092301297,0.004412210492248343,0.044,100158.49203923302,1.506007205099315,1221.9917306951188,2.982860654259248,6884.684171945658,1859.755545328751
0.28,3029417.8161680573,5000000.0,13634619.370509068,2.8229357692021373,0.7901444097982464,0.014336013101009874,2.3722726464936358e-05,0.9462929669677304,0.2653896589820444,0.10159611700258836,348.22255377265196,0.004409312964728494,0.044,100155.97960867333,1.5060027540952141,1221.9643304753363,2.983277208376732,6884.440132708101,1928.601692531237
0.29,3029319.4288827893,5000000.0,13585942.157588191,2.823006243232447,0.8183741198343718,0.014312290655601365,2.3723537213644022e-05,0.9461845265795351,0.2748520464453216,0.10165119680843848,347.8539704001589,0.004406418762773332,0.044,100153.46820142533,1.5059983045779877,1221.9369380554301,2.9836936150379585,6884.196205175136,1997.44434835507
0.3,3029221.0870785853,5000000.0,13537271.835766066,2.8230766828838125,0.8466045345482988,0.014288567618026637,2.372391113487684e-05,0.946076151626029,0.2843133497317507,0.1017062793682789,347.4859579413247,0.00440352788090094,0.044,100150.95781709916,1.5059938565478481,1221.9095533928921,2.984109874393541,6883.95238911732,2066.2856170063233
0.31,3029122.7906548497,5000000.0,13488606.614453401,2.8231470882308702,0.8748356533777627,0.01426484398875818,2.372472136341936e-05,0.9459678420411292,0.2937735696956825,0.10176136468224732,347.118515227817,0.004400640313641255,0.044,100148.44845529295,1.5059894100049807,1221.8821764452427,2.9845259865938965,6883.708684305318,2135.123396508045
0.32,3029024.53951109,5000000.0,13439948.28647405,2.8232174593481747,0.903067476198817,0.014241119767900151,2.3725094649601718e-05,0.9458595977588659,0.3032327067902487,0.10181645275048143,346.7516410942884,0.004397756055536062,0.044,100145.94011559317,1.5059849649495438,1221.8548071700345,2.9849419517892466,6883.465090509907,2203.9597910624852
0.33,3028926.3335469235,5000000.0,13391295.061290793,2.823287796310193,0.9313000024509371,0.01421739495592358,2.3725904360268768e-05,0.9457514187133796,0.3126907618682609,0.10187154357311895,346.38533437836617,0.004394875101138935,0.044,100143.43279757568,1.5059805213816757,1221.8274455248516,2.9853577701296197,6883.221607502031,2272.792698687344
0.34,3028828.172662071,5000000.0,13342648.731667861,2.8233580991913034,0.9595332320114179,0.014193669552931578,2.3726277014125376e-05,0.9456433048389221,0.32214773538175306,0.10192663715029761,346.01959392064316,0.004391997445015223,0.044,100140.9265008055,1.5059760793014938,1221.8000914673119,2.985773441764844,6882.97823505277,2341.6242235810546
0.35000000000000003,3028730.056756367,5000000.0,13294007.507122252,2.8234283680657946,0.9877671643214699,0.01416994355939372,2.3727086209201305e-05,0.9455352560698536,0.33160362818200256,0.10198173348215513,345.65441856466884,0.004389123081742005,0.044,100138.4212248363,1.5059716387090802,1221.7727449550694,2.986188966844556,6882.734972933309,2410.4522637559753
0.36,3028631.9857297544,5000000.0,13245373.18035647,2.823498603007864,1.0160017992596257,0.014146216975412075,2.37274582334495e-05,0.9454272723406449,0.3410584407199496,0.10203683256882923,345.2898071569399,0.004386252005908064,0.044,100135.91696921256,1.5059671996045099,1221.7454059458148,2.9866043455181903,6882.491820915049,2479.2789234067245
0.37,3028533.959482301,5000000.0,13196743.960943822,2.8235688040916154,1.044237136268828,0.014122489801454762,2.3728266915213724e-05,0.9453193535858753,0.3505121738453424,0.10209193441045766,344.9257585468908,0.00438338421211385,0.044,100133.41373346865,1.5059627619878277,1221.7180743972797,2.987019577934987,6882.248778769538,2548.1021005403277
0.38,3028435.977914181,5000000.0,13148121.641523017,2.8236389713910586,1.0724731752288437,0.014098762037622817,2.372863831256488e-05,0.945211499740231,0.35996482800803087,0.10214703900717818,344.56227158688444,0.004380519694971445,0.044,100130.91151712925,1.505958325859063,1221.690750267234,2.987434664243991,6882.005846268498,2616.923899347597
0.39,3028338.040925692,5000000.0,13099504.431725774,2.8237091049801073,1.1007099155843427,0.014075033684382902,2.372944648329074e-05,0.9451037107385069,0.3694164040562391,0.10220214635912854,344.1993451322038,0.004377658449104541,0.044,100128.41031970998,1.5059538912182204,1221.6634335134902,2.9878496045940457,6881.763023183829,2685.7422178302295
0.4,3028240.148417258,5000000.0,13050894.124124918,2.823779204932576,1.128947357216324,0.014051304741835018,2.3729817256449322e-05,0.944995986515604,0.37886690243873045,0.1022572564664465,343.8369780410418,0.004374800469148392,0.044,100125.91014071736,1.505949458065287,1221.6361240939061,2.9882643991337954,6881.5203092876345,2754.5591601752353
0.41000000000000003,3028142.3002894185,5000000.0,13002288.928412685,2.8238492713221808,1.1571854995711794,0.014027575210444383,2.3730624918404003e-05,0.9448883270065298,0.3883163240022098,0.10231236932926982,343.4751691744931,0.004371945749749795,0.044,100123.41097964918,1.5059450264002274,1221.6088219663827,2.9886790480116905,6881.277704352178,2823.3726243789947
0.42,3028044.496442846,5000000.0,12953690.637093952,2.8239193042225383,1.1854243425311366,0.014003845090309965,2.3730995070067013e-05,0.944780732146398,0.3977646691943575,0.10236748494773629,343.1139173965444,0.0043690942855670505,0.044,100120.91283599552,1.505940596222994,1221.5815270888697,2.9890935513759804,6881.035208149982,2892.184714624723
0.43,3027946.7367783394,5000000.0,12905097.459923537,2.823989303707159,1.2136638855443056,0.013980114381895538,2.3731802225512575e-05,0.9446732018704261,0.4072119388603642,0.10242260332198368,342.7532215740658,0.004366246071269929,0.044,100118.41570923832,1.5059361675335192,1221.554239419365,2.9895079093747134,6880.792820453761,2960.993328903491
0.44,3027849.021196827,5000000.0,12856511.189336315,2.824059269849454,1.2419041284941388,0.01395638308529904,2.3732171758369736e-05,0.944565736113937,0.41665813344683095,0.10247772445214978,342.39308057680154,0.004363401101539647,0.044,100115.91959885144,1.5059317403317163,1221.5269589159166,2.9899221221557415,6880.550541036444,3029.8005713947277
0.45,3027751.3495993703,5000000.0,12807930.035151778,2.8241292027227236,1.2701450708304591,0.013932651200982804,2.373297840956077e-05,0.9444583348123575,0.4261032537974389,0.1025328483383724,342.0334932773612,0.004360559371068825,0.044,100113.42450430205,1.505927314617486,1221.4996855366232,2.9903361898667136,6880.3083696712065,3098.604340084205
0.46,3027653.7218871643,5000000.0,12759355.789732743,2.8241991024001667,1.2983867124379405,0.013908918729043745,2.3733347326294907e-05,0.9443509979012175,0.4355473003577129,0.10258797498078931,341.674458551211,0.004357720874561463,0.044,100110.93042504958,1.5059228903907054,1221.4724192396382,2.990750112655083,6880.066306131418,3167.40673914757
0.47000000000000003,3027556.1379615474,5000000.0,12710786.662965434,2.8242689689548683,1.3266290527681142,0.013885185669942759,2.3734153475480595e-05,0.9442437253161494,0.4449902739698298,0.10264310437953836,341.31597527666423,0.004354885606732904,0.044,100108.43736054745,1.505918467651248,1221.4451599831696,2.9911638906680977,6879.824350190772,3236.2056665653085
0.48,3027458.5977239897,5000000.0,12662224.447138565,2.8243388024598057,1.3548720917068717,0.013861452023775736,2.3734521778765384e-05,0.9441365169928877,0.45443217507824196,0.10269823653475733,340.958042334873,0.004352053562309803,0.044,100105.94531024239,1.5059140463989624,1221.4179077254814,2.9915775240528086,6879.582501623141,3305.003226509296
0.49,3027361.101076107,5000000.0,12613667.352207173,2.824408602987845,1.3831158287074479,0.013837717791002143,2.3735327428187816e-05,0.9440293728672694,0.46387300452362623,0.10275337144658407,340.6006586098195,0.0043492247360301,0.044,100103.45427357488,1.5059096266336882,1221.3906624248966,2.991991012956064,6879.340760202694,3373.79731695474
0.5,3027263.647919659,5000000.0,12565117.170383828,2.8244783706117356,1.4113602636569482,0.013813982971716848,2.3735695120690404e-05,0.9439222928752309,0.47331276274936596,0.1028085091151564,340.2438229883062,0.004346399122642978,0.044,100100.96424997986,1.505905208355249,1221.363424039797,2.9924043575245087,6879.099125703857,3442.5900420697553
0.51,3027166.2381565445,5000000.0,12516572.111694418,2.8245481054041175,1.4396053960103048,0.013790247566377893,2.3736500272584956e-05,0.9438152769528102,0.482751450594643,0.10286364954061217,339.8875343599488,0.0043435767169088466,0.044,100098.47523888668,1.5059007915634597,1221.3361925286256,2.9928175579045906,6878.857597901336,3511.379299824284
0.52,3027068.871688823,5000000.0,12468033.968273347,2.8246178074375097,1.467851225655834,0.013766511575079129,2.373686735696335e-05,0.943708325036145,0.4921890685017747,0.10291879272308921,339.5317916171657,0.0043407575135992965,0.044,100095.98723971989,1.505896376258122,1221.3089678498886,2.9932306142425493,6878.616176570145,3580.1671943826864
0.53,3026971.548418694,5000000.0,12419500.950219424,2.8246874767843138,1.49609775205016,0.013742774998277174,2.3737672013558112e-05,0.9436014370614717,0.5016256173084527,0.10297393866272536,339.17659365517056,0.004337941507497077,0.044,100093.50025189827,1.5058919624390186,1221.281749962157,2.993643526684429,6878.374861485535,3648.951623709655
0.54,3026874.268248511,5000000.0,12370974.849586848,2.8247571135168146,1.524344975082806,0.013719037836064867,2.3738038492462105e-05,0.9434946129651257,0.5110610974559319,0.10302908735965849,338.82193937196314,0.00433512869339606,0.044,100091.0142748371,1.505887550105932,1221.2545388240665,2.9940562953760645,6878.133652423104,3717.7346919658044
0.55,3026777.0310807857,5000000.0,12322453.876549378,2.824826717707173,1.5525928942120826,0.013695300088897407,2.3738842655978275e-05,0.9433878526835408,0.5204955097804181,0.10308423881402648,338.4678276683204,0.004332319066101212,0.044,100088.52930794713,1.5058831392586294,1221.2273343943207,2.9944689204630928,6877.892549158749,3786.5142971105906
0.56,3026679.836818184,5000000.0,12273939.823079001,2.8248962894274303,1.5808415093287158,0.013671561756866624,2.3739208532048892e-05,0.9432811561532476,0.529928854722107,0.10313939302596718,338.11425744778876,0.004329512620428562,0.044,100086.04535063475,1.5058787298968686,1221.200136631693,2.9948814020909422,6877.651551468671,3855.2925433008936
0.5700000000000001,3026582.685363528,5000000.0,12225430.899426484,2.824965828749501,1.6090908198926972,0.013647822840426304,2.374001220470038e-05,0.9431745233108743,0.5393611331157234,0.10319454999561847,337.7612276166746,0.004326709351205171,0.044,100083.56240230301,1.5058743220203967,1221.1729454950262,2.9952937404048434,6877.4106591293885,3924.0673284909476
0.58,3026485.576619806,5000000.0,12176928.897479575,2.8250353357451763,1.637340825795951,0.013624083339667267,2.3740377480569504e-05,0.9430679540931454,0.5487923454004066,0.10324970972311825,337.40873708403615,0.0043239092532691,0.044,100081.08046235175,1.5058699156289557,1221.1457609432352,2.995705935549818,6877.16987191777,3992.840756833906
0.59,3026388.510490165,5000000.0,12128432.027568072,2.8251048104861183,1.6655915265001444,0.013600343255041895,2.374118066456258e-05,0.9429614484368808,0.5582224924094051,0.1033048722086044,337.056784761675,0.0043211123214693834,0.044,100078.59953017747,1.5058655107222727,1221.1185829353092,2.9961179876706865,6876.929189610986,4061.610726278799
0.6,3026291.486877918,5000000.0,12079942.081493488,2.8251742530438633,1.6938429218983961,0.013576602586640002,2.3741545342853695e-05,0.9428550062789962,0.5676515745808055,0.10336003745221484,336.7053695641276,0.004318318550665992,0.044,100076.11960517454,1.5058611073000823,1221.091411430312,2.996529896912061,6876.688611986615,4130.379340975068
0.61,3026194.5056865485,5000000.0,12031457.269666683,2.8252436634898155,1.722095011454042,0.01355286133491257,2.374234804038641e-05,0.9427486275565021,0.5770795927463839,0.10341520545408744,336.3544904086567,0.004315527935729808,0.044,100073.64068673394,1.5058567053620908,1221.0642463873846,2.996941663418353,6876.448138822507,4199.144498866548
0.62,3026097.566819705,5000000.0,11982979.383800935,2.8253130418952472,1.7503477950613908,0.01352911949994841,2.3742712123712924e-05,0.9426423122065022,0.5865065473431772,0.10347037621436014,336.00414621524294,0.004312740471542592,0.044,100071.16277424592,1.5058523049080212,1221.0370877657456,2.997353287333766,6876.207769896953,4267.90830409898
0.63,3026000.670181209,5000000.0,11934506.634390173,2.8253823883313007,1.7786012721854416,0.013505377082197107,2.3743514336976065e-05,0.9425360601661952,0.595932439201494,0.10352554973317087,335.6543359065768,0.004309956152996957,0.044,100068.6858670975,1.5058479059375736,1221.0099355246932,2.997764768802298,6875.967504988548,4336.668654611026
0.64,3025903.8156750556,5000000.0,11886040.813057464,2.825451702868981,1.8068554427216887,0.01348163408174648,2.3743877827941867e-05,0.9424298713728717,0.6053572687573243,0.10358072601065753,335.3050584080496,0.00430717497499633,0.044,100066.20996467478,1.5058435084504505,1220.9827896236072,2.9981761079677414,6875.7273438762895,4405.427654544739
0.65,3025807.0032054177,5000000.0,11837580.130381826,2.825520985579158,1.8351103061367886,0.013457890499044715,2.374467955911818e-05,0.9423237457639154,0.6147810368395137,0.10363590504695806,334.9563126477459,0.0043043969324549295,0.044,100063.73506636298,1.50583911244635,1220.9556500219503,2.998587304973682,6875.487286339567,4474.18320183362
0.66,3025710.232676642,5000000.0,11789126.377894113,2.8255902365325656,1.863365862327416,0.013434146334178642,2.3745042460317655e-05,0.9422176832768023,0.6242037438830088,0.10369108684221041,334.6080975564347,0.004301622020297735,0.044,100061.2611715461,1.505834717924967,1220.9285166792693,2.998998359963499,6875.2473321581465,4542.937400616049
0.67,3025613.5039932593,5000000.0,11740677.766260434,2.825659455799796,1.8916221107618783,0.01341040158759506,2.3745843711580378e-05,0.9421116838490984,0.6336253907151957,0.10374627139655253,334.2604120675613,0.004298850233460449,0.044,100058.78827960714,1.5058303248859874,1220.9013895551961,2.9994092730803654,6875.00748111218,4611.688148820384
0.68,3025516.817059977,5000000.0,11692236.08691747,2.8257286434513036,1.9198790513380264,0.01338665625937981,2.374620602559801e-05,0.9420057474184618,0.6430459777699811,0.10380145871012236,333.913255117239,0.004296081566889479,0.044,100056.31638992927,1.5058259333291006,1220.8742686094504,2.999820044467245,6874.767732982238,4680.437550581346
0.6900000000000001,3025420.17178588,5000000.0,11643799.550620412,2.8257977995570185,1.94813668352581,0.01336291034997831,2.3747006799113293e-05,0.9418998739225618,0.6524655058732955,0.10385664878305786,333.56662564419634,0.004293316015541545,0.044,100053.84550184058,1.5058215432538564,1220.847153803531,3.0002306742668976,6874.528087558205,4749.183503822208
0.7000000000000001,3025323.568153106,5000000.0,11595369.948709821,2.825866924167252,1.9763950072241818,0.013339163859475478,2.3747368528519013e-05,0.9417940632951332,0.6618839754579939,0.10391184161549702,333.2205225875169,0.004290553574365667,0.044,100051.37561369411,1.5058171546573542,1220.820045128581,3.000641162621716,6874.288544784774,4817.928112674679
0.71,3025227.0061884746,5000000.0,11546945.492032465,2.8259360172953705,2.0046540219042255,0.013315416788315777,2.374816882624234e-05,0.9416883154623987,0.6713013873484523,0.1039670372075778,332.8749448846029,0.004287794238286912,0.044,100048.90672243516,1.5058127675335466,1220.7929426014045,3.0010515096660293,6874.049104693806,4886.669275060205
0.72,3025130.4858873077,5000000.0,11498527.971832825,2.8260050789499163,2.032913727465177,0.013291669136583886,2.3748529972640656e-05,0.9415826303497109,0.6807177419763086,0.10402223555943818,332.52989147497027,0.004285038002236675,0.044,100046.43882386904,1.5058083818742853,1220.7658462405013,3.0014617155191017,6873.809767236003,4955.4090951106655
0.73,3025034.007240851,5000000.0,11450115.599052425,2.826074109139282,2.0611741233783474,0.01326792090472408,2.3749329795095793e-05,0.9414770078825154,0.6901330401642027,0.10407743667121616,332.1853613007922,0.004282284861157048,0.044,100043.9719136739,1.5058039976711781,1220.7387560645689,3.0018717802980897,6873.570532351699,5024.1454707467865
0.74,3024937.5702405614,5000000.0,11401710.164839093,2.826143107871715,2.0894352095431064,0.013244172092820921,2.3749690358840856e-05,0.9413714479863553,0.699547282342529,0.10413264054304971,331.84135330689264,0.004279534810000815,0.044,100041.50598754652,1.505799614915875,1220.7116720924064,3.0022817041199277,6873.3313999819065,5092.880506099415
0.75,3024841.174878089,5000000.0,11353309.88022952,2.826212075155318,2.117696985430959,0.013220422701318525,2.3750489706273543e-05,0.9412659505868659,0.7089604693321901,0.10418784717507687,331.49786644073686,0.004276787843731396,0.044,100039.04104120104,1.505795233600056,1220.684594342906,3.0026914871013317,6873.092370068217,5161.612099087897
0.76,3024744.8211452863,5000000.0,11304916.536274282,2.826281010998048,2.14595945094141,0.01319667273030134,2.3750849687675096e-05,0.9411605156097803,0.7183726015623411,0.10424305656743563,331.1548996524253,0.004274043957322849,0.044,100036.57707036908,1.505790853715437,1220.6575228350566,3.0031011293587992,6872.853442552852,5230.342353842107
0.77,3024648.509034204,5000000.0,11256528.344105814,2.826349915407721,2.1742226055461495,0.013172922180213324,2.3751648560325667e-05,0.9410551429809249,0.7277836798521514,0.104298268720264,330.8124518946845,0.004271303145759823,0.044,100034.11407079987,1.5057864752537635,1220.6304575879412,3.00351063100861,6872.6146173786265,5299.069168280043
0.78,3024552.2385370834,5000000.0,11208147.09467691,2.826418788392014,2.2024864491448133,0.013149171051138817,2.3752007959681507e-05,0.9409498326262226,0.73719370462954,0.1043534836337,330.4705221228607,0.004268565404037546,0.044,100031.65203825978,1.5057820982068166,1220.6033986207349,3.0039199921668267,6872.375894488954,5367.794646530628
0.79,3024456.0096463664,5000000.0,11159770.999216283,2.826487629958463,2.2307509812092703,0.013125419343521625,2.3752806357780216e-05,0.9408445844716907,0.746602676711948,0.10440870130788169,330.12910929491073,0.004265830727161785,0.044,100029.19096853187,1.5057777225664035,1220.576345952704,3.004329212949294,6872.1372738278305,5436.5166865105375
0.8,3024359.8223546767,5000000.0,11111401.84857843,2.826556440114468,2.2590162016392807,0.013101667057445986,2.3753165175378445e-05,0.9407393984434427,0.7560105965260615,0.10446392174294708,329.78821237139556,0.004263099110148831,0.044,100026.73085741713,1.505773348324376,1220.5492996032042,3.004738293471645,6871.898755339871,5505.23739234776
0.81,3024263.6766548357,5000000.0,11063037.85408889,2.8266252188672922,2.287282109906888,0.01307791419335556,2.3753963099149196e-05,0.9406342744676871,0.765417464887597,0.10451914493903422,329.447830315472,0.00426037054802547,0.044,100024.27170073196,1.5057689754725985,1220.5222595916805,3.0051472338492955,6871.660338970205,5573.954661957682
0.8200000000000001,3024167.5725398446,5000000.0,11014680.806503322,2.8266939662240653,2.315548705911973,0.01305416075133448,2.3754321335268212e-05,0.9405292124707284,0.7748232822220112,0.10457437089628117,329.10796209288503,0.004257645035828951,0.044,100021.81349431108,1.5057646040029877,1220.495225937664,3.0055560341974488,6871.422024664614,5642.6705994673775
0.8300000000000001,3024071.510002895,5000000.0,10966328.91724464,2.826762682191782,2.343815989126745,0.013030406731826268,2.3755118784923726e-05,0.9404242123789661,0.7842280493433009,0.10462959961482599,328.7686066719607,0.004254922568606967,0.044,100019.35623400408,1.5057602339074754,1220.4681986607725,3.0059646946310967,6871.183812369388,5711.383102790964
0.84,3023975.4890373508,5000000.0,10917983.97696916,2.8268313667773093,2.372083959451201,0.01300665213491496,2.3755476439830353e-05,0.940319274118896,0.7936317666756961,0.10468483109480672,328.42976302359824,0.004252203141417627,0.044,100016.89991567814,1.505755865178034,1220.4411777807065,3.0063732152650187,6870.945702031397,5780.094276054622
